,State,LGA,lat,lon
1368,Rivers,Khana,4.728019,7.420403
1369,Akwa-Ibom,Udung-Uko,4.772823,8.239796
1370,Akwa-Ibom,Udung-Uko,4.773229,8.240618
1371,Akwa-Ibom,Udung-Uko,4.774106,8.240077
1372,Akwa-Ibom,Udung-Uko,4.773909,8.240213
1373,Akwa-Ibom,Udung-Uko,4.772993,8.239421
1374,Akwa-Ibom,Udung-Uko,4.773154,8.239104
1375,Rivers,Akuku Toru,4.618466,6.700572
1376,Rivers,Bonny,4.457368,7.197189
1377,Rivers,Bonny,4.431045,7.200481
1378,Rivers,Akuku Toru,4.617021,6.693593
1379,Rivers,Bonny,4.428769,7.201413
1380,Rivers,Akuku Toru,4.611207,6.702752
1381,Rivers,Asari Toru,4.744889,6.846394
1382,Rivers,Akuku Toru,4.744138,6.846204
1383,Rivers,Asari Toru,4.743478,6.846003
1384,Rivers,Asari Toru,4.742684,6.845684
1385,Rivers,Asari Toru,4.742757,6.847395
1386,Rivers,Asari Toru,4.742531,6.846644
1387,Osun,Ife North,7.539195,4.460347
1388,Osun,Ife North,7.538197,4.460283
1389,Osun,Ife North,7.538017,4.459962
1390,Osun,Ife North,7.537447,4.459241
1391,Osun,Ife North,7.520441,4.442929
1392,Osun,Ife North,7.521026,4.443876
1393,Osun,Ife North,7.523233,4.447488
1394,Lagos,Apapa,6.439843,3.334413
1395,Lagos,Apapa,6.439843,3.334413
1396,Lagos,Apapa,6.439638,3.334848
1397,Lagos,Apapa,6.439302,3.335198
1398,Lagos,Lagos Island,6.45828,3.388505
1399,Lagos,Lagos Island,6.454228,3.390623
1400,Lagos,Lagos Island,6.447786,3.412987
1401,Lagos,Lagos Island,6.447786,3.412987
1402,Lagos,Ajeromi-Ifelodun,6.441866,3.360026
1403,Lagos,Ajeromi-Ifelodun,6.441538,3.360167
1404,Lagos,Ajeromi-Ifelodun,6.443948,3.35711
1405,Lagos,Ajeromi-Ifelodun,6.445787,3.352634
1406,Lagos,Ajeromi-Ifelodun,6.449123,3.353725
1407,Lagos,Ajeromi-Ifelodun,6.45062,3.3538
1408,Lagos,Ajeromi-Ifelodun,6.451839,3.352707
1409,Lagos,Ajeromi-Ifelodun,6.455362,3.351786
1410,Lagos,Ajeromi-Ifelodun,6.456304,3.351963
1411,Lagos,Ajeromi-Ifelodun,6.456409,3.351289
1412,Lagos,Ajeromi-Ifelodun,6.456796,3.350546
1413,Lagos,Ajeromi-Ifelodun,6.460943,3.323928
1414,Lagos,Ajeromi-Ifelodun,6.461298,3.323873
1415,Lagos,Ajeromi-Ifelodun,6.460962,3.325937
1416,Lagos,Lagos Island,6.454452,3.390787
1417,Lagos,Ajeromi-Ifelodun,6.46065,3.329593
1418,Lagos,Lagos Island,6.454107,3.39117
1419,Osun,Ejigbo,7.883676,4.335161
1420,Lagos,Lagos Island,6.447786,3.412987
1421,Lagos,Lagos Island,6.447786,3.412987
1422,Lagos,Lagos Island,6.447786,3.412987
1423,Lagos,Lagos Island,6.447786,3.412987
1424,Lagos,Lagos Island,6.447786,3.412987
1425,Lagos,Lagos Island,6.454264,3.391312
1426,Lagos,Mushin,6.541766,3.361682
1427,Ogun,Ado-Odo/Ota,6.611719,3.05762
1428,Osun,Ejigbo,7.883676,4.335161
1429,Lagos,Ajeromi-Ifelodun,6.460752,3.331572
1430,Ogun,Ijebu North,6.934755,3.900362
1431,Lagos,Kosofe,6.563196,3.368629
1432,Ogun,Ijebu North,6.941759,3.92384
1433,Lagos,Ajeromi-Ifelodun,6.459027,3.333715
1434,Oyo,Itesiwaju,8.208905,3.407892
1435,Ekiti,Ise/Orun,7.458244,5.428876
1436,Lagos,Mushin,6.541867,3.359478
1437,Ogun,Ado-Odo/Ota,6.611719,3.05762
1438,Ogun,Ijebu North,6.967454,3.995789
1439,Ekiti,Ise/Orun,7.458577,5.429198
1440,Lagos,Ajeromi-Ifelodun,6.45911,3.337962
1441,Lagos,Kosofe,6.56019,3.368642
1442,Oyo,Egbeda,7.374432,4.049587
1443,Lagos,Surulere,6.498261,3.358284
1444,Oyo,Itesiwaju,8.207945,3.408342
1445,Lagos,Ajeromi-Ifelodun,6.458377,3.335988
1446,Ogun,Ado-Odo/Ota,6.611719,3.257633
1447,Oyo,Egbeda,7.374432,4.049587
1448,Oyo,Itesiwaju,8.208994,3.407914
1449,Osun,Irewole,7.380827,4.183062
1450,Osun,Ife Central,7.485163,4.547382
1451,Ogun,Ijebu North,6.966891,3.996422
1452,Oyo,Itesiwaju,8.208971,3.407935
1453,Osun,Ilesa East,7.625469,4.743467
1454,Osun,Irewole,7.378696,4.182841
1455,Lagos,Mushin,6.541837,3.359434
1456,Lagos,Ajeromi-Ifelodun,6.458423,3.332527
1457,Oyo,Itesiwaju,8.203859,3.404797
1458,Oyo,Egbeda,7.377654,4.047059
1459,Oyo,Itesiwaju,8.203328,3.40461
1460,Ogun,Ijebu North,6.966274,3.996101
1461,Lagos,Surulere,6.497457,3.358439
1462,Lagos,Ajeromi-Ifelodun,6.458463,3.331575
1463,Oyo,Egbeda,7.377649,4.047461
1464,Osun,Ilesa East,7.624573,4.743914
1465,Oyo,Itesiwaju,8.217353,3.335558
1466,Oyo,Itesiwaju,8.217535,3.334771
1467,Ogun,Ado-Odo/Ota,6.611719,3.357534
1468,Lagos,Alimosho,6.645533,3.272302
1469,Oyo,Egbeda,7.378695,4.04665
1470,Oyo,Itesiwaju,8.21634,3.337795
1471,Ogun,Ijebu North,6.967199,3.995639
1472,Ekiti,Ise/Orun,7.457957,5.429542
1473,Osun,Irewole,7.378309,4.182744
1474,Osun,Ilesa East,7.624275,4.74388
1475,Oyo,Egbeda,7.379198,4.045701
1476,Lagos,Kosofe,6.560216,3.369005
1477,Ogun,Ijebu North,6.967451,3.996162
1478,Lagos,Mushin,6.538673,3.361909
1479,Ogun,Ado-Odo/Ota,6.611719,3.05762
1480,Oyo,Egbeda,7.379397,4.044776
1481,Osun,Ejigbo,7.88992,4.322001
1482,Osun,Ejigbo,7.905267,4.314941
1483,Osun,Ejigbo,7.907302,4.314941
1484,Ogun,Ijebu North,6.966996,3.99377
1485,Oyo,Egbeda,7.379836,4.042075
1486,Lagos,Surulere,6.498038,3.358291
1487,Ogun,Ijebu North,6.9684,3.994967
1488,Oyo,Egbeda,7.378016,4.041884
1489,Lagos,Lagos Island,6.454714,3.390616
1490,Lagos,Lagos Island,6.454637,3.39057
1491,Lagos,Lagos Island,6.454728,3.390516
1492,Lagos,Lagos Island,6.454613,3.390548
1493,Lagos,Lagos Island,6.454644,3.390549
1494,Lagos,Lagos Island,6.454516,3.390707
1495,Lagos,Lagos Island,6.45269,3.392976
1496,Osun,Ilesa East,7.622964,4.743987
1497,Osun,Irewole,7.37825,4.182455
1498,Oyo,Egbeda,7.377508,4.041533
1499,Ogun,Ado-Odo/Ota,6.62551,3.250069
1500,Ogun,Ijebu North,6.967251,3.994749
1501,Lagos,Mushin,6.542759,3.361559
1502,Osun,Irewole,7.377434,4.182552
1503,Osun,Ejigbo,7.904942,4.313992
1504,Osun,Ilesa East,7.623114,4.7439
1505,Ogun,Ijebu North,6.961215,3.988506
1506,Ekiti,Ido Osi,7.817788,5.219876
1507,Ogun,Ado-Odo/Ota,6.611375,3.253123
1508,Lagos,Kosofe,6.560218,3.369057
1509,Ekiti,Ido Osi,7.818162,5.220218
1510,Osun,Boluwaduro,7.945876,4.785728
1511,Osun,Boluwaduro,7.945907,4.786146
1512,Osun,Boluwaduro,7.9476,4.785583
1513,Osun,Boluwaduro,7.948298,4.786234
1514,Osun,Boluwaduro,7.947805,4.788937
1515,Osun,Boluwaduro,7.938924,4.747512
1516,Osun,Boluwaduro,7.939499,4.746727
1517,Lagos,Mushin,6.543131,3.361257
1518,Lagos,Surulere,6.49544,3.358667
1519,Ogun,Ado-Odo/Ota,6.611719,3.054775
1520,Osun,Irewole,7.382096,4.188917
1521,Ekiti,Ido Osi,7.818012,5.220538
1522,Lagos,Kosofe,6.559119,3.370378
1523,Osun,Irewole,7.382851,4.196982
1524,Osun,Irewole,7.381932,4.189659
1525,Ekiti,Ilejemeje,7.563723,5.213241
1526,Ekiti,Ilejemeje,7.563745,5.213277
1527,Ekiti,Ilejemeje,7.563712,5.213201
1528,Ekiti,Ilejemeje,7.563854,5.213232
1529,Ekiti,Ilejemeje,7.563928,5.213224
1530,Ekiti,Ilejemeje,7.563972,5.213247
1531,Ekiti,Ilejemeje,7.563834,5.213227
1532,Ekiti,Ilejemeje,7.563802,5.213159
1533,Ogun,Ado-Odo/Ota,6.611719,3.257626
1534,Lagos,Kosofe,6.558879,3.370365
1535,Lagos,Surulere,6.495897,3.357406
1536,Ogun,Ado-Odo/Ota,6.611719,3.357669
1537,Ekiti,Ise/Orun,7.463174,5.409113
1538,Lagos,Surulere,6.497145,3.358215
1539,Ekiti,Ise/Orun,7.464121,5.409579
1540,Lagos,Lagos Island,6.454604,3.390262
1541,Lagos,Lagos Island,6.45464,3.390286
1542,Lagos,Lagos Island,6.454583,3.38999
1543,Lagos,Lagos Island,6.454801,3.389841
1544,Lagos,Lagos Island,6.45456,3.390087
1545,Lagos,Lagos Island,6.454642,3.389917
1546,Lagos,Lagos Island,6.45466,3.389991
1547,Lagos,Lagos Island,6.454605,3.390003
1548,Lagos,Lagos Island,6.454601,3.389929
1549,Lagos,Lagos Island,6.454659,3.390055
1550,Lagos,Lagos Island,6.454649,3.390158
1551,Lagos,Lagos Island,6.454569,3.389987
1552,Lagos,Lagos Island,6.454264,3.391312
1553,Lagos,Lagos Island,6.453576,3.392011
1554,Ogun,Ado-Odo/Ota,6.611719,3.05762
1555,Lagos,Alimosho,6.650909,3.267321
1556,Ekiti,Moba,7.989662,5.117744
1557,Ekiti,Moba,7.989823,5.117467
1558,Ekiti,Moba,7.990262,5.117682
1559,Ekiti,Moba,7.990304,5.118024
1560,Ogun,Ijebu North East,6.611719,3.05762
1561,Ogun,Ijebu North East,6.611719,3.05762
1562,Ogun,Ijebu North East,6.611719,3.057622
1563,Ogun,Ijebu North East,6.611719,3.05762
1564,Ogun,Ijebu North East,6.611719,3.057632
1565,Ogun,Ijebu North East,6.611719,3.057621
1566,Ogun,Ijebu North East,6.611719,3.05762
1567,Ogun,Ijebu North East,6.611719,3.056432
1568,Ogun,Ijebu North East,6.611719,3.057523
1569,Ogun,Ijebu North East,6.611719,3.05762
1570,Ogun,Ijebu North East,6.611719,3.05762
1571,Ogun,Ijebu North East,6.611723,3.05762
1572,Ekiti,Moba,7.99021,5.118431
1573,Ekiti,Moba,7.990147,5.11871
1574,Lagos,Somolu,6.547094,3.363042
1575,Oyo,Ogbomosho North,8.153368,4.206838
1576,Lagos,Somolu,6.547485,3.363021
1577,Oyo,Ogbomosho North,8.149577,4.207928
1578,Oyo,Irepo,9.075415,3.842668
1579,Oyo,Ogbomosho North,8.152074,4.207761
1580,Oyo,Ogbomosho North,8.149364,4.204078
1581,Lagos,Somolu,6.54673,3.362942
1582,Oyo,Ogbomosho North,8.146444,4.199495
1583,Oyo,Ogbomosho North,8.145339,4.206078
1584,Oyo,Ogbomosho North,8.121206,4.206435
1585,Lagos,Somolu,6.546483,3.364752
1586,Oyo,Irepo,9.064369,3.852156
1587,Oyo,Irepo,9.058382,3.854747
1588,Oyo,Irepo,9.049819,3.842195
1589,Oyo,Irepo,9.070081,3.837415
1590,Oyo,Irepo,9.053801,3.851913
1591,Oyo,Irepo,9.077118,3.842896
1592,Oyo,Irepo,9.084532,3.83708
1593,Oyo,Irepo,9.048627,3.842096
1594,Oyo,Ogbomosho North,8.118283,4.206976
1595,Lagos,Somolu,6.546278,3.364667
1596,Oyo,Ogbomosho North,7.421407,3.980576
1597,Ekiti,Ekiti West,7.709043,5.042543
1598,Ogun,Ijebu East,6.815904,4.315422
1599,Ekiti,Ekiti West,7.709891,5.043721
1600,Oyo,Iwajowa,7.988176,3.05611
1601,Ogun,Ijebu East,6.815904,4.315422
1602,Ogun,Ijebu East,6.815904,4.315765
1603,Ogun,Ijebu East,6.815904,4.315423
1604,Ogun,Ijebu East,6.815904,4.315422
1605,Ogun,Ijebu East,6.815904,4.315423
1606,Ogun,Ijebu East,6.815904,4.315126
1607,Oyo,Iwajowa,7.987403,3.055641
1608,Osun,Ife Central,7.484282,4.54828
1609,Osun,Ife Central,7.483664,4.549284
1610,Osun,Ife Central,7.483096,4.549911
1611,Osun,Ife Central,7.493499,4.567405
1612,Osun,Ife Central,7.493909,4.566471
1613,Osun,Ife Central,7.494847,4.566938
1614,Oyo,Iwajowa,7.986889,3.057283
1615,Oyo,Iwajowa,7.98699,3.055007
1616,Oyo,Iwajowa,7.984755,3.053656
1617,Oyo,Iwajowa,7.988211,3.05598
1618,Oyo,Iwajowa,8.019179,3.043144
1619,Oyo,Iwajowa,7.418346,3.984298
1620,Oyo,Iwajowa,7.417693,3.984996
1621,Lagos,Surulere,6.486461,3.36293
1622,Lagos,Surulere,6.48673,3.362886
1623,Ekiti,Ilejemeje,7.563959,5.21242
1624,Lagos,Ikorodu,6.624731,3.483144
1625,Lagos,Ikorodu,6.62473,3.483193
1626,Lagos,Ikorodu,6.624684,3.48315
1627,Lagos,Ikorodu,6.624703,3.483195
1628,Lagos,Ikorodu,6.624705,3.483153
1629,Lagos,Ikorodu,6.624657,3.483146
1630,Lagos,Ikorodu,6.624601,3.483045
1631,Lagos,Surulere,6.48786,3.362781
1632,Ekiti,Ilejemeje,7.563932,5.212381
1633,Ekiti,Ilejemeje,7.943593,5.249446
1634,Ekiti,Emure,7.563945,5.212426
1635,Lagos,Surulere,6.487956,3.362946
1636,Lagos,Ikorodu,6.62003,3.504831
1637,Lagos,Ikorodu,6.62003,3.504831
1638,Lagos,Lagos Mainland,6.50599,3.380614
1639,Lagos,Ikorodu,6.621646,3.500767
1640,Lagos,Surulere,6.489081,3.362867
1641,Osun,Obokun,7.784617,4.720667
1642,Ogun,Ijebu Ode,6.812018,3.855035
1643,Lagos,Surulere,6.488274,3.361058
1644,Lagos,Lagos Mainland,6.520743,3.368566
1645,Osun,Obokun,7.784259,4.721316
1646,Ogun,Shagamu,6.832201,3.631913
1647,Ogun,Ijebu Ode,6.80932,3.910555
1648,Lagos,Ikorodu,6.620966,3.500587
1649,Lagos,Surulere,6.512388,3.362215
1650,Oyo,Ogbomosho South,8.074349,4.184371
1651,Oyo,Lagelu,7.420591,3.977161
1652,Ogun,Ijebu Ode,6.808302,3.909383
1653,Oyo,Ogbomosho South,8.074448,4.181986
1654,Osun,Obokun,7.784269,4.721972
1655,Lagos,Ikorodu,6.621323,3.499556
1656,Ogun,Shagamu,6.832201,3.631913
1657,Lagos,Lagos Mainland,6.507258,3.383275
1658,Ogun,Ijebu Ode,6.808019,3.909766
1659,Lagos,Surulere,6.511162,3.361443
1660,Oyo,Lagelu,7.42145,3.979599
1661,Oyo,Ogbomosho South,8.073359,4.180884
1662,Oyo,Kajola,8.037693,3.342177
1663,Lagos,Surulere,6.494944,3.359097
1664,Osun,Obokun,7.786268,4.725004
1665,Ogun,Ijebu Ode,6.808466,3.910343
1666,Oyo,Ogbomosho South,8.072071,4.179955
1667,Oyo,Lagelu,7.421454,3.979487
1668,Lagos,Ikorodu,6.624682,3.483135
1669,Lagos,Ikorodu,6.624515,3.483285
1670,Lagos,Ikorodu,6.624651,3.483149
1671,Lagos,Ikorodu,6.624661,3.48305
1672,Lagos,Ikorodu,6.62467,3.483127
1673,Lagos,Lagos Island,6.506328,3.381478
1674,Lagos,Lagos Mainland,6.522209,3.36816
1675,Lagos,Ikorodu,6.620631,3.500005
1676,Ogun,Ijebu Ode,6.808036,3.911017
1677,Ondo,Ese Odo,6.506153,4.822382
1678,Oyo,Kajola,8.036942,3.342861
1679,Oyo,Kajola,8.036114,3.341628
1680,Oyo,Ogbomosho South,8.070253,4.180232
1681,Osun,Obokun,7.784727,4.726784
1682,Oyo,Lagelu,7.422938,3.978755
1683,Lagos,Surulere,6.495014,3.359513
1684,Lagos,Ikorodu,6.620367,3.498259
1685,Lagos,Lagos Mainland,6.52133,3.368695
1686,Oyo,Lagelu,7.419533,3.980396
1687,Lagos,Lagos Mainland,6.505543,3.38017
1688,Oyo,Kajola,8.035347,3.341265
1689,Oyo,Ogbomosho South,8.06813,4.178273
1690,Osun,Obokun,7.786268,4.725004
1691,Ogun,Ijebu Ode,6.8112,3.909621
1692,Lagos,Surulere,6.494561,3.358181
1693,Lagos,Surulere,6.51093,3.360675
1694,Lagos,Lagos Mainland,6.520711,3.36943
1695,Oyo,Lagelu,7.420981,3.980266
1696,Oyo,Kajola,8.034454,3.354121
1697,Lagos,Ikorodu,6.620406,3.498518
1698,Oyo,Ogbomosho South,8.063027,4.182315
1699,Lagos,Lagos Mainland,6.523556,3.370603
1700,Lagos,Surulere,6.494604,3.358063
1701,Oyo,Lagelu,7.422683,3.980069
1702,Oyo,Kajola,8.048145,3.337007
1703,Lagos,Lagos Mainland,6.485734,3.385511
1704,Oyo,Ogbomosho South,8.06308,4.182303
1705,Ogun,Ijebu Ode,6.810633,3.908728
1706,Oyo,Lagelu,7.420552,3.981625
1707,Oyo,Kajola,8.04693,3.336118
1708,Osun,Obokun,7.786444,4.727298
1709,Lagos,Ikorodu,6.620371,3.498417
1710,Lagos,Lagos Mainland,6.499047,3.380585
1711,Lagos,Surulere,6.512446,3.361314
1712,Lagos,Surulere,6.513028,3.361641
1713,Ogun,Ijebu Ode,6.810066,3.908269
1714,Oyo,Lagelu,7.420472,3.981365
1715,Lagos,Lagos Mainland,6.49854,3.379741
1716,Osun,Obokun,7.786173,4.723383
1717,Oyo,Ogbomosho South,8.061737,4.181489
1718,Oyo,Kajola,8.04681,3.336124
1719,Ekiti,Moba,7.992548,5.122435
1720,Ogun,Ijebu Ode,6.80873,3.90724
1721,Lagos,Surulere,6.495404,3.357635
1722,Lagos,Apapa,6.439302,3.335198
1723,Lagos,Apapa,6.440538,3.334838
1724,Lagos,Apapa,6.440548,3.334858
1725,Lagos,Apapa,6.440545,3.334902
1726,Lagos,Apapa,6.440837,3.334772
1727,Lagos,Apapa,6.617174,3.316143
1728,Lagos,Lagos Mainland,6.500107,3.379034
1729,Ogun,Ijebu Ode,6.810223,3.908885
1730,Oyo,Ogbomosho South,8.060113,4.182125
1731,Lagos,Lagos Mainland,6.487571,3.38472
1732,Lagos,Lagos Mainland,6.487345,3.384466
1733,Lagos,Lagos Mainland,6.498572,3.380458
1734,Ogun,Shagamu,6.832201,3.631913
1735,Ondo,Ese Odo,6.506166,4.82269
1736,Ondo,Ese Odo,6.3541,4.778534
1737,Lagos,Lagos Island,6.482492,3.378276
1738,Ondo,Ese Odo,6.505696,4.823271
1739,Ondo,Ese Odo,6.50583,4.822834
1740,Ondo,Ese Odo,6.506233,4.822991
1741,Ondo,Ese Odo,6.506451,4.823558
1742,Ondo,Ese Odo,6.506572,4.824001
1743,Lagos,Lagos Mainland,6.48728,3.383856
1744,Oyo,Lagelu,7.421457,3.979494
1745,Lagos,Lagos Island,6.486136,3.38212
1746,Lagos,Lagos Mainland,6.499014,3.380168
1747,Lagos,Lagos Mainland,6.501528,3.378651
1748,Lagos,Lagos Island,6.486342,3.382237
1749,Ogun,Shagamu,6.832201,3.631913
1750,Lagos,Lagos Mainland,6.505158,3.377828
1751,Lagos,Surulere,6.513543,3.361357
1752,Lagos,Surulere,6.505209,3.363205
1753,Lagos,Surulere,6.505,3.36246
1754,Lagos,Lagos Island,6.481964,3.378134
1755,Oyo,Ibadan South-East,7.337498,3.887587
1756,Lagos,Lagos Mainland,6.510297,3.377532
1757,Ondo,Ese Odo,6.506572,4.824001
1758,Ondo,Ese Odo,6.507122,4.824001
1759,Ondo,Ese Odo,6.507122,4.824001
1760,Ogun,Shagamu,6.828419,3.631067
1761,Oyo,Ibadan South-East,7.337416,3.887735
1762,Lagos,Ikorodu,6.62003,3.504831
1763,Lagos,Ikorodu,6.62003,3.504831
1764,Ondo,Irele,6.490361,4.869795
1765,Lagos,Eti-Osa,6.442967,3.417035
1766,Oyo,Ibadan South-East,7.337253,3.88794
1767,Oyo,Ibadan South-East,7.337511,3.889525
1768,Lagos,Surulere,6.504818,3.362109
1769,Lagos,Surulere,6.504217,3.362178
1770,Ondo,Irele,6.490361,4.869795
1771,Ondo,Irele,6.490361,4.869795
1772,Oyo,Ibadan South-East,7.335902,3.889887
1773,Oyo,Ibadan South-East,7.337823,3.890233
1774,Oyo,Ibadan South-East,7.339523,3.890279
1775,Lagos,Surulere,6.503864,3.362756
1776,Oyo,Ibadan South-East,7.340307,3.887619
1777,Ogun,Shagamu,6.832201,3.631913
1778,Oyo,Ibadan South-East,7.340378,3.88777
1779,Ondo,Odigbo,6.7419,4.878
1780,Oyo,Ibadan South-East,7.339326,3.888154
1781,Ondo,Odigbo,6.7419,4.878
1782,Ondo,Okitipupa,6.506518,4.788702
1783,Ondo,Okitipupa,6.506469,4.788596
1784,Ondo,Okitipupa,6.506435,4.788377
1785,Ondo,Okitipupa,6.506258,4.787969
1786,Ondo,Okitipupa,6.506607,4.787918
1787,Ondo,Okitipupa,6.506801,4.785393
1788,Ondo,Okitipupa,6.5069,4.785184
1789,Ondo,Okitipupa,6.507843,4.785275
1790,Ondo,Okitipupa,6.50835,4.78568
1791,Ondo,Okitipupa,6.508427,4.786462
1792,Ondo,Okitipupa,6.507763,4.786689
1793,Ekiti,Moba,7.979026,5.158905
1794,Ekiti,Moba,7.979684,5.158577
1795,Ekiti,Moba,7.980147,5.158394
1796,Lagos,Lagos Mainland,6.487314,3.389279
1797,Ekiti,Irepodun/Ifelodun,7.657463,5.155236
1798,Lagos,Lagos Mainland,6.489751,3.388369
1799,Ogun,Shagamu,6.832201,3.631913
1800,Ondo,Ilaje,6.365108,4.77843
1801,Ondo,Ilaje,6.36523,4.778066
1802,Ondo,Ilaje,6.3541,4.778534
1803,Ondo,Ilaje,6.365594,4.778247
1804,Ondo,Ilaje,6.36572,4.777915
1805,Ondo,Ilaje,6.366602,4.777309
1806,Ondo,Ilaje,6.366723,4.776108
1807,Ondo,Ilaje,6.366937,4.776698
1808,Ondo,Ilaje,6.367851,4.776936
1809,Ondo,Ilaje,6.368291,4.776891
1810,Ondo,Ilaje,6.369231,4.776445
1811,Ogun,Shagamu,6.832201,3.631913
1812,Ogun,Shagamu,6.832201,3.631913
1813,Ogun,Shagamu,6.832201,3.631913
1814,Ondo,Odigbo,6.749904,4.885395
1815,Ondo,Odigbo,6.754415,4.882119
1816,Ogun,Shagamu,6.832201,3.631913
1817,Lagos,Lagos Mainland,6.486004,3.388899
1818,Oyo,Oyo East,7.880793,4.00069
1819,Oyo,Oyo East,7.878958,3.999568
1820,Oyo,Oyo East,7.876309,4.002207
1821,Oyo,Atiba,7.79884,3.941762
1822,Oyo,Afijio,7.783518,3.93456
1823,Oyo,Atiba,7.777925,3.931267
1824,Oyo,Atiba,7.791228,3.941492
1825,Oyo,Atiba,7.783109,3.936434
1826,Oyo,Atiba,7.783147,3.936441
1827,Oyo,Atiba,7.783161,3.936451
1828,Oyo,Atiba,7.78315,3.93644
1829,Oyo,Atiba,7.783131,3.936421
1830,Oyo,Atiba,7.783172,3.936406
1831,Oyo,Atiba,7.774212,3.936861
1832,Oyo,Oyo East,7.875297,4.00506
1833,Oyo,Oyo East,7.874459,4.003506
1834,Oyo,Afijio,7.760556,3.924994
1835,Oyo,Afijio,7.749389,3.920092
1836,Oyo,Oyo East,7.874796,4.00625
1837,Oyo,Afijio,7.760667,3.915442
1838,Oyo,Afijio,7.734322,3.914466
1839,Oyo,Afijio,7.739153,3.895474
1840,Lagos,Eti-Osa,6.443044,3.415856
1841,Lagos,Eti-Osa,6.443601,3.424916
1842,Lagos,Eti-Osa,6.447775,3.413645
1843,Lagos,Eti-Osa,6.448217,3.411712
1844,Lagos,Eti-Osa,6.441525,3.420382
1845,Lagos,Eti-Osa,6.441933,3.4198
1846,Lagos,Eti-Osa,6.442868,3.418476
1847,Lagos,Eti-Osa,6.443891,3.418366
1848,Akwa-Ibom,Udung-Uko,4.775245,8.237068
1849,Akwa-Ibom,Udung-Uko,4.784953,8.235545
1850,Akwa-Ibom,Oron,4.80109,8.199805
1851,Edo,Igueben,6.595738,6.242469
1852,Edo,Etsako West,7.066864,6.274773
1853,Edo,Igueben,6.595377,6.242288
1854,Akwa-Ibom,Abak,5.021265,7.891513
1855,Edo,Etsako West,7.066864,6.274773
1856,Akwa-Ibom,Abak,5.019624,7.88596
1857,Edo,Etsako Central,7.005661,6.450343
1858,Edo,Etsako West,7.066864,6.274773
1859,Edo,Igueben,6.595205,6.242124
1860,Edo,Etsako West,7.066864,6.274773
1861,Akwa-Ibom,Abak,5.019858,7.884236
1862,Edo,Igueben,6.594855,6.241914
1863,Edo,Etsako West,7.066864,6.274773
1864,Edo,Etsako Central,7.005661,6.450343
1865,Rivers,Eleme,4.796157,7.12072
1866,Bayelsa,Brass,4.302473,6.2618
1867,Cross River,Akamkpa,5.068923,8.515636
1868,Cross River,Akamkpa,5.112552,8.525563
1869,Edo,Etsako West,7.066864,6.274773
1870,Akwa-Ibom,Abak,5.020956,7.890675
1871,Edo,Etsako Central,7.005661,6.450343
1872,Edo,Igueben,6.594222,6.241672
1873,Bayelsa,Brass,4.301641,6.249062
1874,Rivers,Ogu-Bolo,4.669764,7.222497
1875,Rivers,Ogu-Bolo,4.669355,7.221791
1876,Rivers,Ogu-Bolo,4.669133,7.222099
1877,Rivers,Ogu-Bolo,4.668755,7.222422
1878,Akwa-Ibom,Abak,5.021793,7.892254
1879,Edo,Etsako Central,7.005661,6.450343
1880,Edo,Owan West,6.927869,5.856486
1881,Edo,Igueben,6.593696,6.241269
1882,Edo,Etsako Central,7.005661,6.450343
1883,Rivers,Tai,4.744876,7.229519
1884,Edo,Etsako Central,7.005661,6.450343
1885,Akwa-Ibom,Nsit-Atai,4.836359,7.991272
1886,Akwa-Ibom,Nsit-Atai,4.836522,7.991187
1887,Akwa-Ibom,Nsit-Ibom,4.837467,7.990713
1888,Akwa-Ibom,Nsit-Atai,4.837401,7.990665
1889,Akwa-Ibom,Nsit-Atai,4.837445,7.990688
1890,Akwa-Ibom,Abak,5.024273,7.897851
1891,Edo,Etsako Central,7.005661,6.450343
1892,Bayelsa,Brass,4.318743,6.253476
1893,Rivers,Tai,4.744631,7.229463
1894,Edo,Esan Central,7.005661,6.450343
1895,Rivers,Eleme,4.78944,7.122802
1896,Edo,Igueben,6.588739,6.238551
1897,Rivers,Khana,4.662003,7.378321
1898,Rivers,Khana,4.661381,7.377669
1899,Rivers,Khana,4.664532,7.377798
1900,Rivers,Khana,4.664509,7.376781
1901,Rivers,Khana,4.665532,7.37525
1902,Rivers,Khana,4.668329,7.375544
1903,Cross River,Biase,5.42284,8.174579
1904,Akwa-Ibom,Abak,5.025201,7.900653
1905,Cross River,Biase,5.423038,8.174398
1906,Edo,Etsako West,7.066864,6.274773
1907,Delta,Burutu,5.056002,5.743415
1908,Edo,Etsako Central,7.005661,6.450343
1909,Edo,Etsako West,7.066864,6.274773
1910,Cross River,Biase,5.422692,8.174278
1911,Edo,Igueben,6.588894,6.238034
1912,Bayelsa,Brass,4.317233,6.253058
1913,Bayelsa,Brass,4.317233,6.253058
1914,Edo,Etsako West,7.066864,6.274773
1915,Rivers,Tai,4.74555,7.229327
1916,Cross River,Biase,5.436741,8.152953
1917,Delta,Burutu,5.055387,5.743072
1918,Bayelsa,Brass,4.903396,6.282956
1919,Cross River,Biase,5.436767,8.15319
1920,Edo,Owan West,6.927869,5.856486
1921,Delta,Uvwie,5.56232,5.815606
1922,Cross River,Biase,5.436867,8.153164
1923,Rivers,Ogu-Bolo,4.668552,7.223191
1924,Rivers,Ogu-Bolo,4.668325,7.22331
