,State,LGA,lat,lon
368,Lagos,Oshodi-Isolo,6.569955,3.343035
369,Ekiti,Irepodun/Ifelodun,7.659332,5.157572
370,Lagos,Ikeja,6.598147,3.341161
371,Ogun,Yewa South,6.900422,3.023062
372,Lagos,Ikeja,6.599624,3.340815
373,Lagos,Ikeja,6.597527,3.342168
374,Osun,Orolu,7.858799,4.475631
375,Oyo,Ogo Oluwa,7.932066,4.124163
376,Oyo,Olorunsogo,8.72689,4.161694
377,Oyo,Iseyin,7.945852,3.620795
378,Oyo,Ibadan North-East,7.390663,3.936682
379,Oyo,Orelope,8.833633,3.763494
380,Lagos,Oshodi-Isolo,6.558462,3.349402
381,Lagos,Oshodi-Isolo,6.57134,3.342577
382,Ogun,Yewa South,6.885949,3.000541
383,Osun,Orolu,7.859789,4.478206
384,Oyo,Ibadan North-East,7.395127,3.938486
385,Osun,Ede North,7.72457,4.441217
386,Oyo,Iseyin,7.945753,3.621705
387,Oyo,Olorunsogo,8.726274,4.163126
388,Osun,Boripe,7.805222,4.622668
389,Osun,Boripe,7.802614,4.625809
390,Osun,Boripe,7.820143,4.622529
391,Osun,Boripe,7.89097,4.674448
392,Osun,Boripe,7.890965,4.675361
393,Osun,Boripe,7.891213,4.677316
394,Osun,Boripe,7.892753,4.676953
395,Lagos,Ifako-Ijaiye,6.67301,3.329003
396,Lagos,Ifako-Ijaiye,6.672235,3.330385
397,Lagos,Ifako-Ijaiye,6.672333,3.330213
398,Lagos,Ifako-Ijaiye,6.672293,3.330201
399,Lagos,Alimosho,6.675518,3.271177
400,Lagos,Oshodi-Isolo,6.552926,3.332812
401,Oyo,Ogo Oluwa,7.932449,4.124788
402,Oyo,Ibadan North-East,7.395124,3.938526
403,Ekiti,Irepodun/Ifelodun,7.658761,5.156905
404,Ogun,Yewa South,6.885873,3.001653
405,Lagos,Ikeja,6.574289,3.369458
406,Lagos,Ikeja,6.573675,3.37205
407,Lagos,Ikeja,6.573669,3.372077
408,Lagos,Ikeja,6.573621,3.371901
409,Lagos,Ikeja,6.573799,3.372025
410,Lagos,Ikeja,6.573804,3.370886
411,Oyo,Olorunsogo,8.732222,4.153282
412,Oyo,Iseyin,7.947998,3.618799
413,Ekiti,Irepodun/Ifelodun,7.658588,5.157024
414,Lagos,Oshodi-Isolo,6.558241,3.349253
415,Oyo,Ido,7.382301,3.823701
